iterations per agent,number of agents,random seed,average utility of best design,smax,smin,t_init,t_phase1,number of created designs,utility param,number of same designs
0,10,0,0.07115313266022236,0.8403284943340321,0.07115313266022236,0.7902505830006703,0,1,30,0
1,10,0,0.072358179844712,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00022358400019584224,7,30,0
2,10,0,0.07436584042414005,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00013212500016379636,10,30,0
3,10,0,0.07577179441172598,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019358300050953403,15,30,0
4,10,0,0.07729784584745136,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018708300012804102,18,30,3
5,10,0,0.07935976837449857,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018520799858379178,20,30,4
6,10,0,0.08154847304847368,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018508399989514146,23,30,6
7,10,0,0.08398904608671162,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018716699923970737,28,30,7
8,10,0,0.09097558447868992,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018691699915507343,32,30,7
9,10,0,0.09097558447868992,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001953329992829822,37,30,10
10,10,0,0.09517597864483648,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019058299949392676,39,30,12
11,10,0,0.09517597864483648,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018929199904960115,43,30,13
12,10,0,0.09871670970983101,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019108299966319464,44,30,15
13,10,0,0.10534971979180445,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001892079999379348,49,30,16
14,10,0,0.10850272427135081,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001915419998113066,53,30,18
15,10,0,0.10850272427135081,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001831660010793712,55,30,19
16,10,0,0.10850272427135081,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001919170008477522,61,30,19
17,10,0,0.11056745609601078,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019116699877486099,63,30,22
18,10,0,0.11056745609601078,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018774999989545904,64,30,23
19,10,0,0.1148987647130909,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019337500089022797,69,30,25
20,10,0,0.1148987647130909,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018512499991629738,70,30,26
21,10,0,0.1148987647130909,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018649999947228935,72,30,28
22,10,0,0.12071327983463646,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018716699923970737,75,30,31
23,10,0,0.12409298518721505,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018770899987430312,78,30,32
24,10,0,0.13172248320597027,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018825000006472692,81,30,34
25,10,0,0.1367411556573916,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019170899940945674,83,30,39
26,10,0,0.138327564098603,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018979200103785843,86,30,42
27,10,0,0.138327564098603,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001911670005938504,90,30,45
28,10,0,0.138327564098603,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018870799976866692,93,30,47
29,10,0,0.14191410327955437,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001872080010798527,95,30,49
30,10,0,0.15960694177179505,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001944169998751022,101,30,49
31,10,0,0.16511424669007868,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.000194500000361586,106,30,52
32,10,0,0.17072952509387979,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018979100059368648,109,30,53
33,10,0,0.18413824308079005,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019004199930350296,114,30,53
34,10,0,0.18998376847712725,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001904580003611045,118,30,55
35,10,0,0.1940277910609071,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019370900008652825,123,30,57
36,10,0,0.19590071870906117,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018479199934517965,124,30,58
37,10,0,0.19590071870906117,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019737500042538159,128,30,61
38,10,0,0.20432556819985503,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019587499991757795,132,30,63
39,10,0,0.206078115881653,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019245899966335855,135,30,65
40,10,0,0.206078115881653,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019550000070012175,137,30,69
41,10,0,0.21046448490656605,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019183299991709646,141,30,69
42,10,0,0.21501764802816536,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018812499911291525,142,30,71
43,10,0,0.216654573182476,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019141700067848433,144,30,74
44,10,0,0.216654573182476,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001879579995147651,145,30,76
45,10,0,0.216654573182476,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.0001940830006788019,147,30,80
46,10,0,0.22288150968394196,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019079100093222223,150,30,81
47,10,0,0.22288150968394196,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019595800040406175,154,30,83
48,10,0,0.22288150968394196,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00018612500025483314,155,30,84
49,10,0,0.2361385669823873,0.8403284943340321,0.07115313266022236,0.7902505830006703,0.00019475000044621993,157,30,88
0,10,1,0.11000755714108672,0.9069559881513841,0.11000755714108672,0.6990170409990242,0,1,30,0
1,10,1,0.11095389620015401,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001883329987322213,6,30,0
2,10,1,0.11249372338974602,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001502089999121381,11,30,0
3,10,1,0.1132615934724946,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019033300122828223,15,30,1
4,10,1,0.1132615934724946,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018700000146054663,16,30,2
5,10,1,0.116909275662986,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018779200036078691,20,30,4
6,10,1,0.11859205980560092,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001937080014613457,27,30,4
7,10,1,0.12237131046641829,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001878340008261148,31,30,5
8,10,1,0.12451063242625841,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018850000014936086,36,30,6
9,10,1,0.12451063242625841,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018995800019183662,40,30,8
10,10,1,0.1247426059475778,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018570800057204906,42,30,9
11,10,1,0.12566740539024296,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018591600019135512,44,30,11
12,10,1,0.12909023034936226,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018545800048741512,47,30,13
13,10,1,0.1315525724264291,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018804200044542085,52,30,17
14,10,1,0.1315525724264291,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018475000069884118,53,30,20
15,10,1,0.1328883205677715,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018566700055089314,56,30,21
16,10,1,0.1328883205677715,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019158299983246252,59,30,22
17,10,1,0.13413319372768562,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001956670002982719,63,30,24
18,10,1,0.13413319372768562,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018745800116448663,64,30,28
19,10,1,0.136789799846885,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018879199888033327,66,30,32
20,10,1,0.136789799846885,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018670800091058481,69,30,33
21,10,1,0.136789799846885,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018708300012804102,71,30,35
22,10,1,0.136789799846885,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019070800044573843,75,30,39
23,10,1,0.136789799846885,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019224999959988054,78,30,42
24,10,1,0.13807181291528958,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018724999972619116,79,30,45
25,10,1,0.13807181291528958,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019445900034043007,81,30,47
26,10,1,0.13807181291528958,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018395900042378344,81,30,49
27,10,1,0.14084496351319267,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001874999998108251,84,30,51
28,10,1,0.14531142500855765,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018729200019151904,86,30,52
29,10,1,0.14531142500855765,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019249999968451448,91,30,53
30,10,1,0.14796788539727396,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019225000141886994,95,30,54
31,10,1,0.15007664397234605,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00020145900089119095,99,30,56
32,10,1,0.15007664397234605,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018962500143970829,101,30,58
33,10,1,0.15007664397234605,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001889589984784834,103,30,60
34,10,1,0.15443469881292732,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019704200167325325,109,30,62
35,10,1,0.15443469881292732,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019104200146102812,112,30,64
36,10,1,0.15514118186677087,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001875829984783195,114,30,66
37,10,1,0.1583610378255689,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019174999943061266,117,30,68
38,10,1,0.1583610378255689,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00020654199943237472,119,30,73
39,10,1,0.1583610378255689,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018987499970535282,121,30,75
40,10,1,0.1583610378255689,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00018983300105901435,123,30,78
41,10,1,0.1637786869624886,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0001902920012071263,126,30,80
42,10,1,0.1637786869624886,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019337499907123856,130,30,82
43,10,1,0.1637786869624886,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019262500063632615,133,30,85
44,10,1,0.1637786869624886,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019174999943061266,136,30,87
45,10,1,0.1637786869624886,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0002827499993145466,138,30,89
46,10,1,0.1637786869624886,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00020258300173736643,141,30,91
47,10,1,0.1637786869624886,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00046879200090188533,142,30,92
48,10,1,0.1637786869624886,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.0020673750004789326,143,30,93
49,10,1,0.1639981976299431,0.9069559881513841,0.11000755714108672,0.6990170409990242,0.00019941700156778097,145,30,95
0,10,2,0.13034808372626028,0.8917700180399356,0.13034808372626028,0.6236858330012183,0,1,30,0
1,10,2,0.1360034634696597,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018429099873173982,7,30,0
2,10,2,0.13847863552791798,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001263329995708773,10,30,0
3,10,2,0.14097345516371101,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00017129200023191515,12,30,0
4,10,2,0.14345032060056806,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001870420001068851,17,30,0
5,10,2,0.1537085321386789,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018691700097406283,22,30,0
6,10,2,0.15447803764735174,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018475000069884118,25,30,0
7,10,2,0.1590671659255841,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018450000061420724,27,30,1
8,10,2,0.1640449921893031,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018649999947228935,32,30,1
9,10,2,0.16938255734932484,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00021395799922174774,36,30,2
10,10,2,0.17409751741973448,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018916699991677888,41,30,2
11,10,2,0.17409751741973448,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018637499852047767,42,30,5
12,10,2,0.17409751741973448,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018683400048757903,45,30,7
13,10,2,0.17409751741973448,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018699999964155722,50,30,8
14,10,2,0.17409751741973448,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018754099983198103,55,30,8
15,10,2,0.17409751741973448,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018766699940897524,60,30,9
16,10,2,0.17409751741973448,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001899999988381751,61,30,13
17,10,2,0.17409751741973448,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001833339993027039,61,30,14
18,10,2,0.17902773692817614,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001883329987322213,64,30,18
