,iterations per agent,number of agents,random seed,average utility of best design,smax,smin,number of created designs
50,47,10,1,0.1637786869624886,0.906955988151384,0.1100075571410867,142
51,49,10,1,0.1639981976299431,0.906955988151384,0.1100075571410867,145
52,0,10,2,0.1303480837262602,0.8917700180399356,0.1303480837262602,1
53,1,10,2,0.1360034634696597,0.8917700180399356,0.1303480837262602,7
54,3,10,2,0.140973455163711,0.8917700180399356,0.1303480837262602,12
55,5,10,2,0.1537085321386789,0.8917700180399356,0.1303480837262602,22
56,7,10,2,0.1590671659255841,0.8917700180399356,0.1303480837262602,27
57,9,10,2,0.1693825573493248,0.8917700180399356,0.1303480837262602,36
58,11,10,2,0.1740975174197344,0.8917700180399356,0.1303480837262602,42
59,13,10,2,0.1740975174197344,0.8917700180399356,0.1303480837262602,50
60,15,10,2,0.1740975174197344,0.8917700180399356,0.1303480837262602,60
61,17,10,2,0.1740975174197344,0.8917700180399356,0.1303480837262602,61
62,19,10,2,0.1851546160010525,0.8917700180399356,0.1303480837262602,67
63,21,10,2,0.19155827435416,0.8917700180399356,0.1303480837262602,79
64,23,10,2,0.1960174803568825,0.8917700180399356,0.1303480837262602,86
65,25,10,2,0.206724626351719,0.8917700180399356,0.1303480837262602,97
66,27,10,2,0.206724626351719,0.8917700180399356,0.1303480837262602,107
67,29,10,2,0.2176534176662863,0.8917700180399356,0.1303480837262602,112
68,31,10,2,0.2235461256985401,0.8917700180399356,0.1303480837262602,119
69,33,10,2,0.2240014182910952,0.8917700180399356,0.1303480837262602,122
70,35,10,2,0.225227186864771,0.8917700180399356,0.1303480837262602,126
71,37,10,2,0.225227186864771,0.8917700180399356,0.1303480837262602,129
72,39,10,2,0.225227186864771,0.8917700180399356,0.1303480837262602,132
73,41,10,2,0.2324073182998494,0.8917700180399356,0.1303480837262602,133
74,43,10,2,0.2324073182998494,0.8917700180399356,0.1303480837262602,138
75,45,10,2,0.2397146140222381,0.8917700180399356,0.1303480837262602,145
76,47,10,2,0.2397146140222381,0.8917700180399356,0.1303480837262602,150
77,49,10,2,0.2432812147070838,0.8917700180399356,0.1303480837262602,156
78,0,10,3,0.1355681397528228,0.9119372026213048,0.1355681397528228,1
79,1,10,3,0.1392228731682854,0.9119372026213048,0.1355681397528228,6
80,3,10,3,0.1459367366086122,0.9119372026213048,0.1355681397528228,12
81,5,10,3,0.1552308827484366,0.9119372026213048,0.1355681397528228,19
82,7,10,3,0.1660267163580082,0.9119372026213048,0.1355681397528228,26
83,9,10,3,0.1885434522921886,0.9119372026213048,0.1355681397528228,36
84,11,10,3,0.2027081710551149,0.9119372026213048,0.1355681397528228,42
85,13,10,3,0.2086055083029428,0.9119372026213048,0.1355681397528228,47
