number of agents,random seed,votes per solution,average utility of best design,average utility of final design (stage 1),average utility of final design (stage 1+2),smax,smin,number of created designs,utility param,number of same designs,iterations of phase 1,median of avg utility in repo
100,1,1,0.15745320620343545,0.1382387081831456,0.14876145361697676,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,1,0.15745320620343545,0.14720154883761918,0.14720154883761918,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,1,0.15745320620343545,0.14238362084326536,0.15364875839623846,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,2,0.15745320620343545,0.13828998526205272,0.15745320620343545,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,2,0.15745320620343545,0.1483037231471722,0.15364875839623846,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,3,0.15745320620343545,0.14112914727500167,0.15082681883120894,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,4,0.15745320620343545,0.14567121854303572,0.15000499493902456,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,5,0.15745320620343545,0.15000499493902456,0.15335173090222282,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,6,0.15745320620343545,0.13786406296062104,0.1517664552173465,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,8,0.15745320620343545,0.1382387081831456,0.15364875839623846,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,11,0.15745320620343545,0.1441583964203951,0.15745320620343545,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,14,0.15745320620343545,0.14876145361697676,0.15335173090222282,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,18,0.15745320620343545,0.14365218085515888,0.15000499493902456,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,23,0.15745320620343545,0.1425086531787506,0.15745320620343545,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,29,0.15745320620343545,0.14991496364062085,0.15539956416118889,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,37,0.15745320620343545,0.14413638605871057,0.15082681883120894,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,48,0.15745320620343545,0.1388618067535541,0.15745320620343545,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,61,0.15745320620343545,0.15745320620343545,0.15745320620343545,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,78,0.15745320620343545,0.15203935767083032,0.15745320620343545,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,1,100,0.15745320620343545,0.1411634887755282,0.15745320620343545,0.8612806896248978,0.1377568237700536,78,30,18,200,0.14332369855233837
100,2,1,0.23612102259832124,0.1782089989038705,0.22470213316257615,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,1,0.23612102259832124,0.18882984778047743,0.22949556376435928,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,1,0.23612102259832124,0.17324179738699688,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,2,0.23612102259832124,0.22470213316257615,0.22470213316257615,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,2,0.23612102259832124,0.17561597845106267,0.2295621204609267,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,3,0.23612102259832124,0.2018330631031814,0.2295621204609267,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,4,0.23612102259832124,0.16608145233098193,0.22970120348160794,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,5,0.23612102259832124,0.2295621204609267,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,6,0.23612102259832124,0.2127883463386918,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,8,0.23612102259832124,0.23612102259832124,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,11,0.23612102259832124,0.16761274006553234,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,14,0.23612102259832124,0.2295621204609267,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,18,0.23612102259832124,0.18882984778047743,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,23,0.23612102259832124,0.21736534897522666,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,29,0.23612102259832124,0.21736534897522666,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,37,0.23612102259832124,0.23612102259832124,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,48,0.23612102259832124,0.22949556376435928,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,61,0.23612102259832124,0.21736534897522666,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,78,0.23612102259832124,0.22970120348160794,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,2,100,0.23612102259832124,0.22332289434106298,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,200,0.17840455453510315
100,3,1,0.23863519884649562,0.2065370654876327,0.23587688338576585,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,1,0.23863519884649562,0.18122967481229219,0.23194087995492063,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,1,0.23863519884649562,0.2108659869993778,0.23587688338576585,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,2,0.23863519884649562,0.16294971323848376,0.22684921754217272,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,2,0.23863519884649562,0.19076389871842703,0.23690647194267642,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,3,0.23863519884649562,0.18391061774292156,0.2265654860714145,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,4,0.23863519884649562,0.2107175830735976,0.23690647194267642,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,5,0.23863519884649562,0.23407238946359907,0.23863519884649562,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,6,0.23863519884649562,0.23690647194267642,0.23690647194267642,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,8,0.23863519884649562,0.1669701467684022,0.23587688338576585,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,11,0.23863519884649562,0.1682162654749143,0.23367312844120963,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,14,0.23863519884649562,0.18853474239549153,0.23863519884649562,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,18,0.23863519884649562,0.22288266809901308,0.23690647194267642,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,23,0.23863519884649562,0.20109944279781972,0.23863519884649562,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,29,0.23863519884649562,0.22167426478966656,0.23690647194267642,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,37,0.23863519884649562,0.23587688338576585,0.23587688338576585,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,48,0.23863519884649562,0.23863519884649562,0.23863519884649562,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,61,0.23863519884649562,0.23367312844120963,0.23863519884649562,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,78,0.23863519884649562,0.21978109449599065,0.23863519884649562,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,3,100,0.23863519884649562,0.23587688338576585,0.23690647194267642,0.8394749187937858,0.16248044477428164,78,30,25,200,0.1979692318340618
100,4,1,0.19976929611343577,0.16843061911581728,0.18219926416214505,0.8294599896757581,0.12596050333658745,75,30,31,200,0.14439543284736486
100,4,1,0.19976929611343577,0.15054626859743553,0.19976929611343577,0.8294599896757581,0.12596050333658745,75,30,31,200,0.14439543284736486
