number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
200,0,0.4636426543674767,0.4630612140016954,0.5352454213580549,0.4618140065369865,124,40,84
400,0,0.4850292385351166,0.48282863112493735,0.5263613041026541,0.4764487552108846,173,40,251
600,0,0.48958526298688354,0.4872720266824961,0.5221817168593842,0.4836013694252387,297,40,565
800,0,0.49018570653906557,0.4889749040513066,0.5187851155918475,0.48483511439168253,279,40,1046
1000,0,0.4893915496337834,0.4876127033963942,0.51846131454243,0.4835644834256431,433,40,1609
200,1,0.4677042901615085,0.4677042901615085,0.5440409179259251,0.4658318513927318,136,40,62
400,1,0.48069917093085435,0.4795416152221465,0.52288667431629,0.47620910695167984,206,40,210
600,1,0.48655222064847936,0.48633915020383284,0.5255051762339205,0.4847700161594557,352,40,492
800,1,0.4870493657247089,0.4866622134639003,0.5176409856447748,0.4859499539537022,423,40,883
1000,1,0.48649594156738085,0.48543233393547686,0.513666544686937,0.48274266690455797,392,40,1477
200,2,0.45519786787131367,0.4535273337426045,0.5313378731148521,0.45290831779551133,112,40,77
400,2,0.4703814075354811,0.469733800334252,0.5314550250981133,0.46687967480988923,214,40,283
600,2,0.4823872172591869,0.4821926619788395,0.5240708730883645,0.4800289871682265,290,40,557
800,2,0.4802723684421817,0.47872620493015206,0.5180030868035884,0.47738278892889213,356,40,977
1000,2,0.49109266205625507,0.4881627048168216,0.5210890059438885,0.48641080847313345,440,40,1524
200,3,0.4720270892449473,0.47156860828086716,0.5462153853222376,0.46727294771705113,127,40,69
400,3,0.4806591601526415,0.4790104094949102,0.5273173064848441,0.47717700615153885,205,40,246
600,3,0.48356047153371046,0.4827972576399768,0.5223122316524428,0.4816379145792362,323,40,517
800,3,0.48713049310748496,0.48643244648069933,0.5199270416988786,0.48580146810082026,436,40,872
1000,3,0.48725564219753753,0.48725564219753753,0.5209860588783635,0.4854665222888729,459,40,1403
200,4,0.4755975688187444,0.4747250994805743,0.5369903219674592,0.4737472132447874,131,40,57
400,4,0.478666145649969,0.4778990796021631,0.5290508715443759,0.4757885814500517,230,40,225
600,4,0.48315456037129595,0.4824456040817701,0.5237529139976654,0.48113332423559785,341,40,492
800,4,0.486944248780273,0.48578012026040945,0.5180191364604516,0.4839496922747452,400,40,894
1000,4,0.48881088177474113,0.48825134987680757,0.5159029292501798,0.48585882285747806,464,40,1423
200,5,0.46204803268705374,0.46165195027123324,0.5432215779688901,0.4608265766720639,146,40,46
400,5,0.47208192224778583,0.471489655696017,0.5215748539699602,0.47040709828957544,250,40,216
600,5,0.478508575315848,0.47825785845094637,0.517646708170253,0.47688829175352365,358,40,476
800,5,0.48488931646256433,0.4839458476605729,0.5182213054726317,0.4821570796764141,400,40,887
1000,5,0.4882409326373199,0.48550756818713564,0.518935374098069,0.48256101426016274,409,40,1459
200,6,0.4741032687294532,0.4737663681311926,0.5357998776292041,0.4732368688843209,140,40,56
400,6,0.4844229128356938,0.4834390743949817,0.5250111019374453,0.4817232450813538,215,40,213
600,6,0.4809198663325827,0.4804268424841707,0.5196306498114578,0.4788686720664212,328,40,503
800,6,0.48909169101682304,0.4884004639473338,0.5248953603179052,0.48795024107315016,401,40,861
1000,6,0.49120193370781084,0.4902318755352338,0.5212119408638798,0.48731446726672817,379,40,1467
200,7,0.4677552476121668,0.46686548024827346,0.5398940823792447,0.4641755171195258,137,40,68
400,7,0.4801150816057082,0.47974320924134567,0.5263607804756127,0.4776534688448727,251,40,211
600,7,0.4859252964028341,0.48493987346808437,0.5181867928713881,0.4840842427509141,349,40,457
800,7,0.4868984763039641,0.4858834393621298,0.5160324299943443,0.4821957400961734,356,40,868
1000,7,0.4900609867157818,0.48831817556218776,0.5143801672098924,0.48322658008602015,358,40,1447
200,8,0.47660102875253507,0.4763799873977996,0.5308446461712238,0.47579173126915003,86,40,78
400,8,0.48648365016013095,0.4847249024403564,0.526189427740253,0.48052559209835644,169,40,238
600,8,0.4915597810293286,0.4909291176313355,0.5220498372609599,0.48469487020286334,232,40,550
800,8,0.4901631137625834,0.48941441248196155,0.517345729546231,0.4874990073697281,301,40,993
1000,8,0.4907979431583993,0.4900019195189872,0.5164988735614856,0.48792502866364135,496,40,1491
200,9,0.4664273571161335,0.46497321652323237,0.5392527421948813,0.4639336766718726,125,40,80
400,9,0.4690586278377118,0.467534862451532,0.5285511168899601,0.4666018148835383,164,40,300
600,9,0.48183318853974316,0.48124887223125257,0.5220309429038507,0.4799286841770341,306,40,579
800,9,0.48848863031319195,0.4882454257586366,0.521615765814547,0.4839883859501416,358,40,984
1000,9,0.49290140817175876,0.4919274007339431,0.5146762820566729,0.48733896801574733,409,40,1508
