number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
10,0,0.07436584042414005,0.07436584042414005,0.8403284943340321,0.07115313266022236,10,30,0,0.5
30,0,0.11439441671698687,0.11343643837715105,0.8586084330618557,0.09719928664657555,29,30,4,0.5
50,0,0.12380217272181675,0.12380217272181675,0.856806556694134,0.10529527361028312,45,30,12,0.5
70,0,0.15726401326470596,0.14696806031046394,0.8605420075044288,0.11309463074052814,51,30,27,0.5
90,0,0.14588433546376978,0.1385055052301257,0.8303043663531467,0.11236249869178631,75,30,46,0.5
110,0,0.19095993110300752,0.19095993110300752,0.82392893615262,0.11594808469410287,87,30,67,0.5
130,0,0.15612391674631176,0.15211790000318468,0.827625946097471,0.11686251051647518,101,30,96,0.5
150,0,0.16648284367714025,0.16219424912693683,0.8306961596608259,0.12429588023782541,106,30,140,0.5
170,0,0.17039617243860358,0.17039617243860358,0.8289063568753727,0.11854679309387403,124,30,201,0.5
190,0,0.16251447997239513,0.15853266313637018,0.8288544104802671,0.12195523532368387,126,30,264,0.5
210,0,0.21966427884558815,0.21966427884558815,0.8328035936829723,0.12024558783595504,136,30,333,0.5
230,0,0.19823295773340358,0.19823295773340358,0.8315355327869135,0.1169663826328678,169,30,392,0.5
250,0,0.21452202211807972,0.21076296955320556,0.8371742013157525,0.11837873039718105,159,30,488,0.5
270,0,0.20098751028654493,0.20098751028654493,0.8349874458015365,0.11681943504343804,173,30,578,0.5
290,0,0.21402858589410254,0.21402858589410254,0.8420656651906382,0.12083692048297531,164,30,697,0.5
310,0,0.2944507897509474,0.2944507897509474,0.8448779388761728,0.12358159837286824,178,30,836,0.5
330,0,0.2101890075049695,0.2091371263529195,0.8465017978063258,0.12394194781428547,210,30,971,0.5
350,0,0.21124222703350856,0.21065151820510636,0.8484246350895113,0.12475586358460308,219,30,1079,0.5
370,0,0.2740932642093429,0.2740932642093429,0.8471311751185888,0.1243957455461411,223,30,1230,0.5
390,0,0.21453858218812646,0.21453858218812646,0.8490823291097386,0.12623589576165364,267,30,1374,0.5
10,1,0.11249372338974602,0.11249372338974602,0.9069559881513841,0.11000755714108672,11,30,0,0.5
30,1,0.13266874769258555,0.13185331359716132,0.8744764356053777,0.12720598347992793,27,30,1,0.5
