,number of agents,repetition,average utility of voted design,smax,smin,number of created designs
41,7000,1,11.393890096209908,18.245780715226577,0.8050831719971524,6516
42,7000,2,15.66516607956749,17.839472397513784,0.8422247248492502,6646
43,7000,3,13.436972179802916,17.993360316624546,0.8214666748538159,6595
44,7000,4,7.21267736579748,17.99326706212712,0.825772121148376,6552
45,7000,5,14.414248215481438,18.147658237142316,0.8373078070067056,6610
46,7000,6,10.219928728330684,18.11227537609323,0.8156467309384877,6545
47,7000,7,14.81480457480189,18.017144265073515,0.7931063155444329,6508
48,7000,8,8.880294746976876,18.03058102271892,0.8412523654325386,6472
49,7000,9,8.576886479006077,18.13807272418247,0.8203035071927661,6353
50,8000,0,12.050222204596349,18.222030052716796,0.8060908752658776,7445
51,8000,1,15.30523776546999,18.210809932586457,0.8027481030296761,7538
52,8000,2,16.463346260082577,17.931925069968244,0.8310132462382157,7706
53,8000,3,16.10482629391327,17.995656507924807,0.827370979392495,7497
54,8000,4,17.424876085805227,18.04741839412701,0.8207301591012721,7758
55,8000,5,16.3708604758144,18.204109950466627,0.8322546299403292,7688
56,8000,6,15.015057685208577,18.07326071127021,0.8159529919869563,7495
57,8000,7,13.341041074191812,17.986211835118514,0.7964644575604534,7508
58,8000,8,15.383583607581617,18.08629394205261,0.8428409184669278,7503
59,8000,9,14.836593779721,18.16069982405784,0.8193080216873041,7402
