,number of agents,repetition,average utility of voted design,smax,smin,number of created designs
0,10,0,0.990834011840186,19.84829822322876,0.8708496546050272,10
1,10,1,0.691064990539971,18.76451603049834,0.4666665075109663,13
2,10,2,0.9342157674469468,25.6565150280718,0.907786859055888,10
3,10,3,0.8041985857945291,21.229081537906104,0.618712693384311,14
4,10,4,0.4758411913931836,24.433822261406043,0.4155063754586525,12
5,100,0,0.7846908121517601,18.081289351499063,0.6798897125202908,100
6,100,1,0.9192078601893569,18.260848489851018,0.7821477777428336,93
7,100,2,1.0010422619403274,17.947915203773697,0.9578086566447646,84
8,100,3,0.844663777872652,18.12337145307468,0.7896208944725273,92
9,100,4,0.7499593165519519,18.687804595157505,0.6630696614878537,96
10,1000,0,0.9105891624018791,18.23739426177809,0.7751389359858232,918
11,1000,1,1.0621232394443296,17.833450274032558,0.8362147372133224,934
12,1000,2,0.949667011151731,17.750516869872726,0.8160366469811894,914
13,1000,3,1.0920286302268791,17.294249892969408,0.8603838896380056,922
14,1000,4,0.9364848055963728,17.870919314379186,0.7907847622639442,904
15,5000,0,3.5927802399064923,18.22092165335248,0.7987009584928112,4653
16,5000,1,2.870391374026937,18.06792029398791,0.8098655409697175,4535
17,5000,2,4.485407236955313,17.8223322502969,0.8415574751579081,4621
18,5000,3,7.443492991816637,17.93806213405863,0.8167922101415602,4784
19,5000,4,3.8827391773112168,17.961738458195764,0.8306773269620391,4568
20,10000,0,18.2197636949824,18.221747965032684,0.8054516820835614,9500
21,10000,1,17.761316621280052,18.24690623236403,0.8055428185132825,9601
22,10000,2,17.199041379032685,17.86384109613271,0.8317645396491694,9769
23,10000,3,17.811641363493546,17.984384923556757,0.832724973440284,9714
24,10000,4,17.58503875311997,18.074603831076477,0.818197596861363,9466
0,10,5,0.5694024867491622,18.813312800967047,0.521287381141254,12
1,10,6,0.88775915785438,18.35210718603562,0.7973225409935116,15
2,10,7,1.2420256052880576,17.66943005011353,1.1156016099483692,9
3,10,8,1.193164465337321,20.629924895367974,1.0818971409821954,12
4,10,9,0.5864268313817758,20.0304683417242,0.4861230370232394,16
5,100,5,0.9671699643815928,17.83099712716013,0.7938043782794751,110
6,100,6,0.8894305226422966,17.921556209293463,0.7767056498278394,103
7,100,7,0.7908266831634054,16.68648465439692,0.7068903748267442,104
