number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
10,0,0.1531987909477792,0.1499067336664545,0.8409529702897979,0.10512799378144191,11,20,0,0.5
110,0,0.1851432287680232,0.1788794183142627,0.8418905847272716,0.14102470561862274,84,20,31,0.5
210,0,0.33410350324214105,0.32544968246640543,0.8486306550195466,0.1372794804670446,132,20,107,0.5
310,0,0.4317593019593721,0.4317593019593721,0.8461440080220987,0.1373297040931815,186,20,238,0.5
410,0,0.3322836830374793,0.3235053426959911,0.8474640986921373,0.13776608310239144,255,20,393,0.5
510,0,0.3356756977218865,0.3346853038972757,0.8479477175916069,0.13717278256442994,282,20,623,0.5
610,0,0.39420684901193437,0.3706534525071745,0.8513766416030351,0.13703031730676934,360,20,911,0.5
710,0,0.37866444392191756,0.3719378350131669,0.8503883484416072,0.13622555762333882,369,20,1235,0.5
810,0,0.3749033612324305,0.3725973318089927,0.850961792169119,0.13724038503337027,415,20,1647,0.5
910,0,0.41498283067781616,0.4033019983441196,0.8513829698032493,0.13828730708137485,459,20,2148,0.5
10,1,0.11557244699731148,0.11557244699731148,0.9017455943701418,0.08845977345048138,10,20,0,0.5
110,1,0.303762260919836,0.303762260919836,0.8725884757590971,0.1631643427360344,77,20,26,0.5
210,1,0.4146276439523963,0.4143940862460636,0.8727354815726465,0.16108413645196182,136,20,96,0.5
310,1,0.5959899008463619,0.5843734586559798,0.8800032459189921,0.16416530021364728,175,20,230,0.5
410,1,0.4505101829442137,0.4505101829442137,0.878301086333148,0.15657203503724135,236,20,407,0.5
510,1,0.6166654580333369,0.6166654580333369,0.8730036562996468,0.1588200955984706,284,20,629,0.5
610,1,0.691944936274132,0.691281861917433,0.8717646013804818,0.1569048817211187,209,20,991,0.5
710,1,0.6238547461098813,0.6184017337302455,0.8737672537021722,0.15632719061202194,323,20,1360,0.5
810,1,0.6390144150223497,0.6288085376613636,0.8740141662451265,0.15370073264866238,350,20,1772,0.5
