number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
1,6,0.00016655043295574386,0.00016655043295574386,1.0,0.0,2,30,0,0.75,8.327521647787193e-05
1,6,0.0004567625383973301,0.0004567625383973301,1.0,0.0,3,30,0,0.75,0.00020582607890790464
2,6,0.09920027274210064,0.09920027274210064,0.9320143190876878,0.09918473087477298,2,30,0,0.75,0.0991925018084368
4,6,0.23357561272598698,0.23357561272598698,0.8581289988985181,0.23310546012086084,6,30,0,0.75,0.2333684009170089
6,6,0.2334531660588596,0.2334531660588596,0.791874149907254,0.23162968824737762,5,30,0,0.75,0.23184831014973353
11,6,0.23974575418774896,0.23974575418774896,0.7348943340557716,0.23886741603194644,11,30,0,0.75,0.23917686450362224
18,6,0.27116243655769495,0.27116243655769495,0.6724161635516381,0.2629485647463906,26,30,0,0.75,0.2662831547302603
29,6,0.28972366529052,0.2881025276883716,0.6576291295784004,0.2805667675314987,32,30,3,0.75,0.2829492347569419
48,6,0.3159558585840989,0.31328706732214845,0.6635598510080695,0.30790581404761314,38,30,9,0.75,0.30910846481208065
78,6,0.3321383436939225,0.3321383436939225,0.6606029641737199,0.3208080154697662,64,30,22,0.75,0.32406440229466815
127,6,0.36024271978263606,0.3540022456488439,0.652366102895515,0.33045035073662443,86,30,53,0.75,0.33737489335589615
206,6,0.35518243071701266,0.3502844034720671,0.6610713830233157,0.32935559619030563,146,30,131,0.75,0.33293391659181304
335,6,0.3546865535055743,0.3486093281787528,0.6507121117177148,0.33420659181836765,211,30,262,0.75,0.33875154410917013
545,6,0.3688636084205655,0.3621526204663976,0.6524729480419198,0.33290465096753585,295,30,516,0.75,0.3422433742187348
885,6,0.4031236385036329,0.4031236385036329,0.6515423801294031,0.3365768348707848,461,30,953,0.75,0.3514789277434442
1438,6,0.39339910345320783,0.3831917827845677,0.6516027508278492,0.33598076985026726,667,30,1708,0.75,0.3516748847260558
2335,6,0.42478171646391566,0.4203550639249054,0.6492474301940947,0.3386890185869161,942,30,3125,0.75,0.35929854549170126
3792,6,0.44799134481707864,0.43712686876429835,0.6512925148315429,0.3411661999120846,1451,30,5437,0.75,0.37025496371202166
6158,6,0.5631825860473518,0.561161647282917,0.6537051275545035,0.3423938837242089,2052,30,9480,0.75,0.3958417978101164
10000,6,0.4759309829698339,0.46665260745783,0.6513925096038148,0.34003435052491454,2800,30,16617,0.75,0.36978739423119433
1,7,0.0005068662865179152,0.0005068662865179152,1.0,0.0,2,30,0,0.75,0.0002534331432589576
1,7,0.0007389863270641597,0.0007389863270641597,1.0,0.0,3,30,0,0.75,0.0005746185905795808
2,7,0.22461061803948545,0.22461061803948545,0.9113069065579673,0.22461061803948545,1,30,0,0.75,0.22461061803948545
4,7,0.3185987278133168,0.3185987278133168,0.7938862426567189,0.31723279642223173,5,30,0,0.75,0.31755054068103616
6,7,0.3388187164815597,0.3388187164815597,0.7445195527396377,0.3378589126033463,7,30,0,0.75,0.33805818666342874
11,7,0.3510505658864131,0.3510505658864131,0.7026166689171135,0.349712249431817,9,30,0,0.75,0.35006818233180464
18,7,0.33573172602783535,0.33435567868918464,0.6761796330755969,0.3319700170886968,16,30,1,0.75,0.33276512866589836
29,7,0.3367147431154354,0.3350862678037718,0.637683285990698,0.3326556642736561,30,30,4,0.75,0.33405016544560917
48,7,0.3295812648893269,0.32637526893551194,0.6449313529548334,0.316448234403148,46,30,14,0.75,0.3182528013705048
78,7,0.328477381545952,0.32743889327992026,0.623773771630975,0.3222268766892678,67,30,26,0.75,0.32380260820245316
127,7,0.3328284036778176,0.32949005799216113,0.6364219152027094,0.3172922852715751,93,30,54,0.75,0.3224265250197794
206,7,0.3433197804166833,0.33875250347956176,0.6368200029332708,0.3235031192108253,151,30,116,0.75,0.32664582506182965
