number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
10,0,0.35280299715312613,0.35280299715312613,0.6746258250612106,0.3524289336866211,10,40,0,1
30,0,0.423110315154322,0.42273980493864916,0.5884412536072385,0.4224142272265157,30,40,3,1
50,0,0.4316869704437362,0.4314922549104347,0.5740426281787893,0.4298721683381526,45,40,10,1
70,0,0.44972577843842565,0.44928016955822486,0.5579305829657838,0.4459709429111312,50,40,24,1
90,0,0.45614692534128287,0.4556079788939145,0.5527620380885203,0.45347953179408873,69,40,42,1
10,1,0.39231157760005264,0.3921992519614087,0.6964555519595091,0.3915692730644923,13,40,1,1
30,1,0.442389869293071,0.4421161971842793,0.5886352056547319,0.44005307651306447,28,40,5,1
50,1,0.45654338776204817,0.4562446814479895,0.587396326636417,0.4551280623516686,47,40,11,1
70,1,0.4600102803412167,0.4598679505140469,0.5651982204730532,0.45897398282823615,50,40,24,1
90,1,0.4694771062661152,0.4693785149332982,0.5541763499798865,0.4663775790577678,79,40,43,1
10,2,0.35824626987273417,0.35803058589055753,0.6741018910513652,0.35757623576582964,12,40,0,1
30,2,0.4050704770525764,0.4050704770525764,0.6082034384075903,0.4030362618108275,31,40,3,1
50,2,0.43861308623227757,0.43861308623227757,0.6021258732825152,0.4376703695337113,35,40,12,1
70,2,0.44879761704449395,0.44879761704449395,0.5512210238257665,0.44729723670506505,66,40,21,1
90,2,0.45005745420246385,0.4492590095277451,0.5452282081646167,0.4482093730671845,67,40,46,1
10,3,0.32924011815136145,0.3290331806704524,0.6672268245014068,0.32854411573027315,15,40,2,1
30,3,0.41110810771520956,0.41110810771520956,0.5622818930744015,0.4103223140009225,25,40,5,1
50,3,0.43345853203092355,0.43315071809695993,0.5709921915391761,0.43178356778520516,36,40,12,1
70,3,0.43232996983365474,0.43150431613158874,0.5663983626918346,0.4286375952768236,57,40,29,1
90,3,0.4458858447459059,0.4453903995995255,0.5653500465366296,0.4446020143782017,73,40,51,1
10,4,0.33597216650737244,0.33554239478776093,0.6223911993717535,0.3343702993056273,15,40,0,1
30,4,0.3940896758619461,0.39408967586194615,0.6137056697551443,0.39163597467051453,36,40,2,1
50,4,0.42962217901909894,0.42962217901909894,0.5895621751604575,0.4283713505956831,38,40,11,1
70,4,0.44702522735585304,0.44612187398611014,0.6023114812092706,0.4446137684501287,66,40,17,1
90,4,0.4421947699681198,0.44175968695348933,0.5929045362386829,0.4389223115819411,54,40,43,1
10,5,0.3525877965186547,0.3525877965186547,0.6610965366085947,0.3511561609558402,13,40,0,1
30,5,0.42037516555305815,0.4200676666898717,0.5873672741904061,0.4196617802857423,29,40,5,1
50,5,0.41475368457633194,0.41439014936476376,0.5818553990546804,0.4117930701451001,34,40,17,1
70,5,0.42682096729668967,0.42591125525969026,0.5602263428634119,0.415461990337894,59,40,32,1
90,5,0.43883529444165886,0.4383768154242991,0.5518480106921009,0.4320796059332416,66,40,56,1
10,6,0.3451557173536424,0.3451557173536424,0.657633976989419,0.34226728382460936,13,40,0,1
30,6,0.4081189339465522,0.4073306300319057,0.6059246103282274,0.4034070922722583,22,40,9,1
50,6,0.42472888298159683,0.4244002825923227,0.5668730863449862,0.42178324185156213,32,40,18,1
70,6,0.45129770539468866,0.4510519544355272,0.5410828172596285,0.4502065870451333,54,40,40,1
90,6,0.4379145024328942,0.4372166928461567,0.5567440208329811,0.4353362521580043,74,40,59,1
10,7,0.35992226242704434,0.35992226242704434,0.6414664978697071,0.3582710729648189,12,40,0,1
30,7,0.41172165814890044,0.4114097465297458,0.5856012391604913,0.41043005967314383,25,40,6,1
50,7,0.4471257245593829,0.446377261135287,0.5751462750100104,0.44541887746158976,41,40,16,1
70,7,0.4615083304252121,0.46128398375488516,0.5501629505272937,0.46101357785081093,64,40,29,1
90,7,0.46334135407422017,0.46262381917746725,0.5555997672030268,0.46074237157270587,61,40,54,1
10,8,0.35136387388021717,0.35136387388021717,0.64670313148223,0.35025053372220266,13,40,0,1
30,8,0.37925028931723204,0.37925028931723204,0.6197147127497499,0.3778888571516457,27,40,5,1
50,8,0.409816816965065,0.4092538046340578,0.5778887646546059,0.40484493022635365,47,40,15,1
70,8,0.41512415001902,0.41479590353177037,0.5592801668312918,0.4135944740687952,48,40,30,1
90,8,0.41224916499497244,0.411721352943152,0.544388497051429,0.40817540430974064,70,40,48,1
