number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
5000,0,0.629192187732719,0.6278810739351391,0.8481915430544661,0.1402794498639659,1161,20,3509,0.5
5000,1,0.6758412563264978,0.671976529252741,0.8750337200276154,0.1423710913657613,435,20,4007,0.5
5000,2,0.6550578592080338,0.6530307418442011,0.8727509585796362,0.17142039984550025,919,20,3794,0.5
5000,3,0.6037212857692688,0.6005138189946521,0.8584050890135111,0.15568556174288323,843,20,3649,0.5
5000,4,0.5543112557158977,0.5462706027636101,0.8252503635576217,0.09231725284688101,1202,20,3605,0.5
5000,5,0.6041358157060641,0.6016765516431969,0.8370777419554656,0.1259288675073142,1360,20,3498,0.5
5000,6,0.8179958747657613,0.8144457798927448,0.8834076935645713,0.17105789144294112,1255,20,3610,0.5
5000,7,0.5392673212878989,0.5362094812962612,0.8569121870903044,0.1574682966674294,1208,20,3547,0.5
5000,8,0.6638898080083886,0.6602738928468178,0.8424105237778433,0.1496911872183089,1123,20,3601,0.5
