number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
10,0,0.017826695298118783,0.017826695298118783,0.9960311776902012,0.005423534405051185,15,40,1,0.1
30,0,0.04310140936236236,0.039102896418379614,0.9962456610071359,0.002417592883659158,25,40,5,0.1
50,0,0.051983208520469386,0.051983208520469386,0.9953149034694525,0.0023403816148513173,40,40,11,0.1
70,0,0.10729413547217434,0.10266916410060005,0.9955616272282964,0.0025957647090287046,61,40,27,0.1
90,0,0.11597065290138758,0.1150404469904441,0.9955523426721705,0.003019297034150135,69,40,52,0.1
10,1,0.004528018378787745,0.004528018378787745,0.9987180801643355,0.002135746883440237,8,40,0,0.1
30,1,0.03328572084567669,0.03276237371367617,0.994531907830036,0.013338772828144161,28,40,5,0.1
50,1,0.029595143002409747,0.029595143002409747,0.9940066007657603,0.012196546707965002,37,40,15,0.1
70,1,0.0858898900967291,0.0858898900967291,0.9940939569668582,0.013452738560346452,61,40,30,0.1
90,1,0.0943016937073972,0.09332045069666936,0.9935579853258955,0.012789238226121442,68,40,57,0.1
10,2,0.01005042074815549,0.009794965951807707,0.9891604207495724,0.0,14,40,1,0.1
30,2,0.025544009015091164,0.02462003475248579,0.9935622657022125,0.0,33,40,8,0.1
50,2,0.03387577400084339,0.030397857036819634,0.9938565675310168,0.0,43,40,15,0.1
70,2,0.07061796009957282,0.06596135959017962,0.9949951058740331,0.0,61,40,34,0.1
90,2,0.06789676967684298,0.06739311490888447,0.9943048557746926,0.0,63,40,54,0.1
10,3,0.005971603695162025,0.004363004139849263,0.9997510635840239,0.0009125559315632155,11,40,0,0.1
30,3,0.01745125503633813,0.01450270630274027,0.9986874392278221,0.0006190076387154177,30,40,2,0.1
50,3,0.05237818357707609,0.05237818357707609,0.9973600547115131,0.0005977052720768246,47,40,14,0.1
70,3,0.03314595633644677,0.03314595633644677,0.9972776064254455,0.000571168420348029,53,40,35,0.1
90,3,0.07885453733955816,0.07885453733955816,0.9977817921749129,0.0005404966121609411,80,40,54,0.1
10,4,0.0047751740256585466,0.0047751740256585466,0.9998711070022506,0.0002264881799520462,10,40,0,0.1
30,4,0.053088328922041544,0.053088328922041544,0.9996436307083952,0.00039433798549963635,28,40,3,0.1
50,4,0.11374771069065863,0.10604543301894996,0.9991676267840579,0.0003057606330372752,46,40,11,0.1
70,4,0.06372746768216837,0.06372746768216837,0.9992849545985442,0.0002740974390718774,54,40,31,0.1
90,4,0.11696341093592628,0.10905298272940503,0.999117218245001,0.00027829454529550445,73,40,59,0.1
10,5,0.02208450433431794,0.02208450433431794,0.9996704607880871,0.005121246318028186,11,40,0,0.1
30,5,0.054145504692381136,0.04786484717573985,0.9994704549699499,0.004458011193145168,29,40,6,0.1
50,5,0.10981467779567967,0.10402222128259582,0.9995426123150871,0.004708236064617432,41,40,14,0.1
70,5,0.08718706809847421,0.08031069199860226,0.9995666507255476,0.003480962291623786,52,40,30,0.1
90,5,0.13395378623740187,0.12576921313322298,0.9995813410612506,0.003141674387140629,63,40,57,0.1
10,6,0.006370045301949676,0.005905926478994199,1.0,0.0005803191000354109,13,40,1,0.1
30,6,0.03472972781802218,0.030860002528954194,0.999992591766486,0.0012730957088048502,28,40,3,0.1
50,6,0.05374808434808649,0.04920081369172606,0.9996236570270568,0.0010504464085664572,46,40,12,0.1
70,6,0.09295840308640928,0.09295840308640928,0.9996469197397145,0.0010846858470048466,64,40,25,0.1
90,6,0.09253219177708179,0.08895891621626853,0.9997253820197779,0.0009754008757767252,77,40,42,0.1
10,7,0.019596720620578063,0.019596720620578063,1.0,0.013365597982183796,11,40,0,0.1
30,7,0.024712665744540223,0.024531465475181907,1.0,0.009698859583565573,30,40,6,0.1
50,7,0.030097791297969852,0.027424799989726304,1.0,0.010483428959608803,40,40,16,0.1
70,7,0.03423180397712131,0.03423180397712131,1.0,0.01179146213110672,51,40,30,0.1
90,7,0.0334757457248877,0.03347574572488769,0.9999449977551308,0.011917912608750905,73,40,50,0.1
10,8,0.009731840048504688,0.009731840048504688,0.9994981942632755,0.007833851894595536,14,40,1,0.1
30,8,0.025179776491778733,0.025179776491778733,0.9991367983835232,0.006596299404870138,28,40,4,0.1
50,8,0.02904071431585418,0.02733149125819205,0.9991616460520492,0.00500966640046283,50,40,17,0.1
70,8,0.045566579990911196,0.04109350197321038,0.999137956744605,0.0042854772574392,60,40,34,0.1
90,8,0.07885371522559735,0.07764751647995766,0.9989164670862567,0.005112407200607428,65,40,58,0.1
