number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
200,0,0.2241536105943596,0.21973739308037019,0.8403754617429223,0.17809438260375096,159,40,61,0.5
400,0,0.19891919686661058,0.1922156732928275,0.8397848400088073,0.16868382112594285,227,40,253,0.5
600,0,0.363499067208708,0.3573774499594476,0.843468107015878,0.16929397436664548,347,40,534,0.5
800,0,0.29938239797463656,0.2872975807432837,0.8417126764499556,0.1673371937529837,407,40,939,0.5
1000,0,0.3080783597311612,0.3012873888519111,0.845445619330936,0.16898441033103023,499,40,1454,0.5
200,1,0.1739909049995379,0.16545634375774973,0.8311859117081087,0.15108321495659163,162,40,75,0.5
400,1,0.27214849620195436,0.27214849620195436,0.8316324899870636,0.15522292544256336,231,40,259,0.5
600,1,0.3565361566622873,0.3516546923376081,0.8304226019433615,0.15629721834857715,386,40,495,0.5
800,1,0.32823627267084865,0.3192808299885006,0.8307684316595264,0.15558508712583058,374,40,880,0.5
1000,1,0.3354971746987832,0.3354971746987832,0.8312914700969956,0.15359939689691096,502,40,1404,0.5
200,2,0.20027542638706453,0.19075071470759444,0.8011509066543863,0.09749814450622017,127,40,62,0.5
400,2,0.19353187144407896,0.19353187144407896,0.8032772020000384,0.10535103926114286,220,40,231,0.5
600,2,0.325695642987063,0.3135366363206381,0.8035684495991863,0.10679245262799467,296,40,505,0.5
800,2,0.3700530551562482,0.3641459845567325,0.807813325025518,0.10521667510015086,350,40,928,0.5
1000,2,0.3276035238816504,0.3276035238816504,0.8077318646490977,0.10657279157951634,439,40,1428,0.5
200,3,0.16700412642522228,0.15910252679805384,0.8609187672245912,0.1402378150160852,131,40,76,0.5
400,3,0.22413213490316633,0.22179579013287967,0.8535995281680236,0.13832247893444255,229,40,235,0.5
600,3,0.2626667290404423,0.26266672904044236,0.8555770929928227,0.13663392923973205,317,40,508,0.5
800,3,0.2294655249002348,0.21748960020389096,0.862439816368095,0.13713966996399624,400,40,927,0.5
1000,3,0.284943075619555,0.284943075619555,0.8659384207587367,0.13969848183144634,513,40,1425,0.5
200,4,0.22777097363700488,0.22777097363700488,0.8304111927667428,0.13235737792150493,126,40,79,0.5
400,4,0.2767545348575407,0.2767545348575407,0.8324724518667245,0.1314675873251028,228,40,245,0.5
600,4,0.3277200391600986,0.3277200391600986,0.8299452695417299,0.13332596770347874,326,40,538,0.5
800,4,0.32217558490615594,0.32135821916064733,0.8320811770183366,0.1293244433630399,414,40,942,0.5
1000,4,0.3615008040766681,0.34675502013942755,0.8328485293500373,0.13024040983734234,479,40,1505,0.5
200,5,0.270234368918422,0.25772655377340287,0.8642689897626713,0.15476137829288314,131,40,80,0.5
400,5,0.22403770669905249,0.20400401715444413,0.8589102263477768,0.14949978848747,242,40,246,0.5
600,5,0.287446101431834,0.287446101431834,0.8600349828756794,0.1471356053449643,340,40,520,0.5
800,5,0.31136066899430626,0.30617308198048554,0.8621804684489,0.140650712683629,399,40,932,0.5
1000,5,0.35200562292978016,0.3503088767996065,0.8639553177742039,0.14111599784184042,490,40,1470,0.5
200,6,0.19362323203380286,0.18747757889848893,0.8362092043883236,0.13645299329572672,148,40,70,0.5
400,6,0.19839496994717568,0.19439416914174168,0.8197582063055077,0.14219832238606983,232,40,258,0.5
600,6,0.30044461330684696,0.2850510305089045,0.8242795253856773,0.13969346997105986,314,40,531,0.5
800,6,0.21540199764068635,0.2003987209272265,0.8258789033917392,0.1372341455215965,399,40,963,0.5
1000,6,0.25245962685234324,0.23711738292315088,0.8269543922068533,0.13824638844044737,488,40,1469,0.5
200,7,0.29399523378554426,0.28820364045004365,0.8460392851378781,0.17392521675901787,138,40,67,0.5
400,7,0.2851349896705833,0.2792157268999857,0.8581328685490245,0.17716567584866913,212,40,261,0.5
600,7,0.2814364431068666,0.2814364431068666,0.8650106022501245,0.18023635818450956,308,40,538,0.5
800,7,0.4226886437895416,0.4226886437895416,0.8640186101605729,0.18106381526608517,370,40,993,0.5
1000,7,0.22829686597796237,0.22610281909640528,0.8604504602286679,0.1829482050767964,538,40,1498,0.5
200,8,0.20540616593797295,0.20038072352844072,0.878644826441057,0.1725231982625794,146,40,68,0.5
400,8,0.18806900167385102,0.18806900167385102,0.870333142694946,0.17219554038714427,221,40,244,0.5
600,8,0.24320033173247424,0.2350994939356463,0.8647709036527939,0.1727471027064068,335,40,492,0.5
800,8,0.23102398908937358,0.23091786504262765,0.8622798692661219,0.1748255084661752,460,40,878,0.5
1000,8,0.27603530157785383,0.2722608555583918,0.8634377996612516,0.17663214958314227,494,40,1375,0.5
