number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
400,0,0.2910842801057999,0.0007222692707028485,0.8531604458417946,0.125731534599858,255,30,177,0.5
450,0,0.262961438491005,0.0005751192051610531,0.8539764805849362,0.12775046709963525,281,30,372,0.5
500,0,0.4179538349242885,0.0008199696090831937,0.8536823423455955,0.12803189662406084,287,30,609,0.5
550,0,0.2271734773445205,0.0003737714189748031,0.851118148108464,0.1294380156498948,329,30,831,0.5
600,0,0.20316018256629714,0.00033253306764784195,0.8507108848954076,0.12918970946056327,349,30,1087,0.5
650,0,0.22609398325328384,0.00033605173015236183,0.8511465856632694,0.1294752074819169,374,30,1369,0.5
700,0,0.19889512794995276,0.00028413589707136107,0.8525870011974744,0.12985087243336632,433,30,1674,0.5
750,0,0.32709462073581763,0.00042157953084026746,0.8530894386555957,0.13033960097460445,401,30,2039,0.5
800,0,0.3848155847900244,0.00047453796317938377,0.8495503900511017,0.13086178444911678,473,30,2410,0.5
850,0,0.31187291722068566,0.0003662236266438873,0.8489140166153881,0.1304008256534351,474,30,2814,0.5
400,1,0.23709038517598816,0.0005927259629399704,0.8600351235720227,0.13302376441016178,240,30,142,0.5
450,1,0.22755265364068888,0.0004985224836256062,0.8610726256089556,0.134090241695947,276,30,343,0.5
500,1,0.2070128175600931,0.0004140256351201862,0.857925135229201,0.13523186662304348,295,30,552,0.5
550,1,0.41639834414421245,0.0007570878984440227,0.857384189176924,0.13370413120888536,275,30,801,0.5
600,1,0.3368253947972432,0.0005613756579954054,0.8557129291469348,0.13521901992090937,309,30,1090,0.5
650,1,0.3018397690871547,0.00044797171765785434,0.8553867117395619,0.13711514429203756,385,30,1389,0.5
700,1,0.26124132129150124,0.0003732018875592875,0.8566115024226144,0.1359368790312713,371,30,1718,0.5
750,1,0.2352851737750577,0.0003137135650334103,0.8565171036724525,0.13557635853992536,413,30,2055,0.5
800,1,0.40049878914196063,0.0004858774302979259,0.8570889709133154,0.13532539781465733,413,30,2448,0.5
850,1,0.28927419687966244,0.000333297305633149,0.8572722191563551,0.13577268071306284,417,30,2858,0.5
400,2,0.2572532605150162,0.0006211603544094516,0.8545623686579019,0.15764973073046148,194,30,183,0.5
450,2,0.36727240815053286,0.0008161609070011841,0.8533449620190957,0.1568960581687838,242,30,399,0.5
500,2,0.2947912691143271,0.0005811906519414831,0.8527194786198705,0.15881096559201396,224,30,666,0.5
550,2,0.4026565600076889,0.00073159883213102,0.8545172727607558,0.16118906133352484,267,30,949,0.5
600,2,0.41378749522424024,0.0006728598568009572,0.8522604354722996,0.16193985484067738,291,30,1247,0.5
650,2,0.5317611629206608,0.0008180940968010165,0.8506282672945182,0.1612079637393925,357,30,1549,0.5
700,2,0.33040416451930404,0.0004720059493132915,0.850412491415405,0.16032515911306733,332,30,1925,0.5
750,2,0.6015697222598185,0.0007930583554096354,0.8513032297144286,0.1583047606190827,369,30,2296,0.5
800,2,0.33182323283700343,0.0004046297408186417,0.8512697548990671,0.1594918772559616,396,30,2661,0.5
850,2,0.6079137683814047,0.0007079477197313995,0.850684628101259,0.15962245780374967,383,30,3110,0.5
400,3,0.45809643490642027,0.001127379310586213,0.8446209677235648,0.1643410364930165,228,30,200,0.5
450,3,0.4015512179172318,0.0008923360398160707,0.845053202484993,0.16506581310579554,270,30,380,0.5
500,3,0.47252647796077624,0.0009450529559215525,0.8436106143672163,0.16501892748267047,270,30,613,0.5
550,3,0.435941155625055,0.0007911195449303408,0.8459497533315968,0.16550770980522767,312,30,857,0.5
600,3,0.5495172259255447,0.0009040336368818194,0.8470207137349571,0.16084416553172176,320,30,1127,0.5
650,3,0.5701175705571635,0.0008771039547033285,0.8480689676499064,0.1593482415657366,336,30,1446,0.5
700,3,0.5464191698773482,0.0007804778552893924,0.8479120666580859,0.1593266192556597,314,30,1807,0.5
750,3,0.6088588627616139,0.0008005947799384414,0.8485117111724584,0.16065719154135175,350,30,2194,0.5
800,3,0.4718523915360129,0.0005783365750746882,0.8482134978728115,0.1615670441616718,397,30,2614,0.5
850,3,0.6401767173259467,0.0007531490792069962,0.8484944075077618,0.16083156261062345,395,30,3061,0.5
400,4,0.3347977648176584,0.0008114659139253119,0.8242509255889785,0.12813408766067813,208,30,206,0.5
450,4,0.3586436294752187,0.0007798183726914194,0.8238840248504189,0.12600306847312678,272,30,412,0.5
500,4,0.3734495862059453,0.0007468991724118906,0.8235213657217106,0.1271832888147276,274,30,665,0.5
550,4,0.4144240795643305,0.0007512502558822146,0.8248921867202584,0.1277754424996985,315,30,915,0.5
600,4,0.3947123868545066,0.0006578539780908443,0.8268437432687693,0.12635191494588258,307,30,1167,0.5
650,4,0.44915910704986983,0.0006794229968895473,0.829022460009167,0.12443366516677756,314,30,1486,0.5
700,4,0.5024429370311023,0.0007177756243301462,0.8288928197805202,0.12344453838651213,335,30,1822,0.5
750,4,0.4001514789034793,0.0005277627515097973,0.8291150999894549,0.12287758706456386,353,30,2219,0.5
800,4,0.401952936784202,0.0004931340796348276,0.8285492394504382,0.12365279410798433,422,30,2650,0.5
850,4,0.5097525087089995,0.0005909382343082645,0.8276775921251052,0.12416848132827375,412,30,3108,0.5
400,5,0.40258523264899315,0.001004018326596598,0.8660286719442724,0.14525189459753826,229,30,174,0.5
450,5,0.5021861744994662,0.0010871543504746082,0.8654494788563921,0.14533982937014264,251,30,388,0.5
500,5,0.44271290275126757,0.0008585299386587732,0.862674450071345,0.14357255787674755,277,30,619,0.5
550,5,0.5138141273354567,0.000934207504246285,0.862445703698506,0.14672015475922315,318,30,860,0.5
600,5,0.4804360149253341,0.0007625802234293156,0.8625581093974678,0.14660324764399257,322,30,1142,0.5
650,5,0.5622458776857607,0.0008557576091935741,0.8637467823106281,0.1445919228157556,351,30,1467,0.5
700,5,0.5009356549562646,0.0007047946501294058,0.8623007944440505,0.14053958568598154,377,30,1783,0.5
750,5,0.5443531461523096,0.0007200642126910412,0.8634180327602703,0.1380073349638735,353,30,2164,0.5
