number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
1,0,0.00023763341259153378,0.00023763341259153378,1.0,0.0,3,30,0,0.5,0.00017076693457142381
1,0,0.00017076693457142381,0.00017076693457142381,1.0,0.0,2,30,0,0.5,8.538346728571191e-05
2,0,0.09454844176454999,0.09454844176454999,0.8418810619401499,0.09332563226614655,4,30,0,0.5,0.09359514401056344
2,0,0.0936381238416895,0.0936381238416895,0.8418810619401499,0.09332563226614655,2,30,0,0.5,0.09348187805391803
4,0,0.12209391193028989,0.12209391193028989,0.8089354396040501,0.12133967548971458,5,30,0,0.5,0.12157578197068312
6,0,0.09394623291952799,0.09394623291952799,0.8172415654454334,0.09187704901379688,9,30,0,0.5,0.09236787306635678
8,0,0.10165910521693768,0.10165910521693768,0.8628263616946965,0.09786700200879234,8,30,0,0.5,0.09897191667743083
12,0,0.09375747676554623,0.09375747676554623,0.8451624312041291,0.09194308538685587,11,30,0,0.5,0.09285288081862546
18,0,0.110765041874191,0.110765041874191,0.8276234367138882,0.10712903924272975,16,30,1,0.5,0.10859537422983404
26,0,0.12733305008737036,0.12733305008737036,0.8300585946412334,0.12222177560529575,21,30,1,0.5,0.12361227265339439
37,0,0.13605173822865968,0.13605173822865968,0.8163330300280063,0.11915498257038863,34,30,8,0.5,0.12260607448917733
54,0,0.14608217983268867,0.1457113488365409,0.8251152552461847,0.13192908128588593,44,30,14,0.5,0.1341441722960688
78,0,0.15452533454490228,0.15452533454490228,0.829670225925476,0.13443675193620636,62,30,33,0.5,0.13733261430053384
112,0,0.20654975814486876,0.20654975814486876,0.8374765811397983,0.14097426146347683,96,30,64,0.5,0.1473516853303279
162,0,0.20695473284371346,0.20695473284371346,0.8186564286455946,0.13284887064301773,116,30,105,0.5,0.14970222922848359
233,0,0.2337686847994532,0.22892864099261778,0.8320906365744138,0.12909070713802587,150,30,173,0.5,0.15191118262698233
335,0,0.30543257852388794,0.2863685278624556,0.8395268448803519,0.13225637689107383,226,30,299,0.5,0.20702399560729196
483,0,0.2480594985032868,0.2480594985032868,0.8480201137206037,0.13063344189943515,315,30,490,0.5,0.16142490572635007
695,0,0.22020782532842959,0.21507592149003504,0.8495199058459156,0.12411168178343272,368,30,824,0.5,0.16035363572624023
1000,0,0.3474536732040361,0.34661041989093083,0.8501447642577217,0.12755853335621944,539,30,1311,0.5,0.24309587332881963
1,1,0.00014641833398757186,0.00014641833398757186,1.0,0.0,2,30,0,0.5,7.320916699378593e-05
1,1,0.0003137651766410573,0.0003137651766410573,1.0,0.0,3,30,0,0.5,0.00014641833398757186
2,1,0.07878820682836356,0.07878820682836356,0.9147938815382043,0.07758409330722804,5,30,0,0.5,0.077749243027663
2,1,0.07789873669774437,0.07789873669774437,0.9147938815382043,0.07758409330722804,3,30,0,0.5,0.0778195030627858
4,1,0.1769752334192265,0.1769752334192265,0.8944772303151798,0.17608276830603428,7,30,0,0.5,0.17629986381142032
6,1,0.137169776124194,0.1368102013744601,0.9228355301376205,0.1357532004126493,11,30,0,0.5,0.1361990605393437
8,1,0.1428384886774631,0.1428384886774631,0.8921138832298663,0.13982752149399744,11,30,0,0.5,0.14037106615766706
12,1,0.14367534112855782,0.14367534112855782,0.8815444317756276,0.13953038225920364,12,30,0,0.5,0.1402922739311565
18,1,0.1552537409307318,0.15268123070919346,0.8791084543481401,0.14468275053214358,20,30,0,0.5,0.14534187549036304
26,1,0.14001310714285659,0.13731186031619755,0.8481049134044406,0.12995660699346884,24,30,1,0.5,0.13150215834545848
37,1,0.1403218889373179,0.1403218889373179,0.8507708950896221,0.1244611067450895,34,30,7,0.5,0.12787840778478993
54,1,0.14799772771031347,0.14606751701070514,0.8639687471836867,0.13534433853770458,46,30,18,0.5,0.13715591645907504
78,1,0.15143663751973277,0.14919492482971375,0.8518983820321699,0.13885946452847617,61,30,36,0.5,0.14366176523885266
112,1,0.16280724337445251,0.1589784440309774,0.8566255106748029,0.14193172623134243,85,30,66,0.5,0.14914365889322112
162,1,0.17030665077022428,0.1627223292371414,0.8605116018600621,0.14057333060871247,122,30,102,0.5,0.1460094157760377
233,1,0.19883183055946288,0.1924391731303747,0.8594983197257722,0.13799029354859954,145,30,194,0.5,0.15000275590765302
335,1,0.217180583700558,0.217180583700558,0.8658687882966972,0.1393637520031107,223,30,304,0.5,0.15307170142941645
483,1,0.2820900128612527,0.2820900128612527,0.866218273557791,0.1381480455862104,291,30,508,0.5,0.16158337887110935
695,1,0.3572024979595148,0.35154936757002425,0.8621224090390718,0.13666235517027106,367,30,839,0.5,0.24869266307627336
1000,1,0.4618582234458895,0.4608840884959316,0.8555731311344944,0.13681911599997376,485,30,1358,0.5,0.2698491174902905
1,2,0.0008180676090012677,0.0008180676090012677,1.0,0.0,3,30,0,0.5,5.716826144794469e-05
1,2,0.00031513391351102024,0.00031513391351102024,1.0,0.0,2,30,0,0.5,0.00015756695675551012
2,2,0.06176854980626971,0.06176854980626971,0.9913540965319951,0.06035718485051832,4,30,0,0.5,0.06073908541760832
2,2,0.060363746590509124,0.060363746590509124,0.9913540965319951,0.06035718485051832,2,30,0,0.5,0.06036046572051372
4,2,0.08269525416685819,0.08269525416685819,0.8487484036790269,0.08159491812593547,5,30,0,0.5,0.08171441289646209
6,2,0.13556858594719004,0.13556858594719004,0.8846322648828905,0.13324490057009905,5,30,0,0.5,0.13373644060138992
8,2,0.10747987355011826,0.10747987355011826,0.8769646323069569,0.10285262925933455,8,30,0,0.5,0.10353851086288332
12,2,0.13265598714087834,0.13265598714087834,0.8698513286577764,0.12524331160709898,11,30,0,0.5,0.126234934597875
18,2,0.14346343242763082,0.14096503251589979,0.8368422164404712,0.13581371412904833,21,30,3,0.5,0.1379255675604773
26,2,0.16341153174652245,0.16341153174652245,0.8608281597603042,0.14384247413603546,31,30,7,0.5,0.14675751055066377
37,2,0.18621798249737861,0.18621798249737861,0.8475962047459081,0.14103030658618004,38,30,10,0.5,0.15040652873533789
54,2,0.2221653347970058,0.2221653347970058,0.854634780479384,0.15116755861086742,56,30,14,0.5,0.16939042033118978
78,2,0.20843815862455647,0.20843815862455647,0.8378088192045678,0.15659910388926604,49,30,34,0.5,0.16632802585177145
