number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
1,0,0.0002504240617900512,0.0002504240617900512,1.0,0.0,3,30,0,0.75,8.72859767111803e-05
1,0,0.0003407451413797115,0.0003407451413797115,1.0,0.0,2,30,0,0.75,0.00017037257068985574
2,0,0.1553110118918261,0.1553110118918261,0.7521775251531607,0.15391817479588096,4,30,0,0.75,0.15440814472487902
2,0,0.15413420340891282,0.15413420340891282,0.7521775251531607,0.15391817479588096,3,30,0,0.75,0.1540441735226511
4,0,0.28442781285671787,0.28442781285671787,0.7080836275323454,0.2835648915086019,5,30,0,0.75,0.2836881103525701
6,0,0.2111321251168884,0.2111321251168884,0.6641351579010565,0.20933091835770679,5,30,0,0.75,0.20972865525385678
8,0,0.2604781231515187,0.2604781231515187,0.7030787297287296,0.2551136333537665,10,30,0,0.75,0.25592609453153303
12,0,0.26604270775890837,0.26604270775890837,0.6679802171756769,0.26542495270269234,10,30,0,0.75,0.265656127314344
18,0,0.27419670887473474,0.2735456414268277,0.7363410726040922,0.26973627322809357,19,30,2,0.75,0.27112328438508393
26,0,0.30324584222300544,0.3018735648163587,0.6806265302609515,0.2998055198573456,29,30,3,0.75,0.3007899937792384
37,0,0.30469764989286574,0.3030931283333844,0.6421823984292861,0.30030938725460227,40,30,12,0.75,0.3012769805330006
54,0,0.29881886779088046,0.29881886779088046,0.642184144295637,0.29150819123539945,48,30,18,0.75,0.2928007618478897
78,0,0.31473036955765693,0.309411183973586,0.6425465304793107,0.3025361688574213,67,30,33,0.75,0.305788776035594
112,0,0.3280277542508702,0.3280277542508702,0.6480937133198416,0.3144155998248701,86,30,64,0.75,0.3182770981830552
162,0,0.32005208762265885,0.3184787066661826,0.6517793994739278,0.3013953462274626,112,30,113,0.75,0.3049355891619099
233,0,0.33471869484682004,0.32601480670415517,0.6587014115839998,0.3094494367005095,153,30,196,0.75,0.31493051630806007
335,0,0.3557982338469024,0.3523958376434845,0.6671936148449397,0.32580454968390854,234,30,304,0.75,0.33555355896626055
483,0,0.3665641667500796,0.35305024310319466,0.6646549374318093,0.3275879062792095,282,30,505,0.75,0.33425409880593004
695,0,0.36411163310061384,0.36411163310061384,0.6644325923829083,0.3297414071723326,366,30,816,0.75,0.33952941568117956
1000,0,0.3981973055848486,0.38966451269407004,0.6601688712508423,0.3367118406954577,535,30,1310,0.75,0.3530459129332573
1,1,0.00038932849707951816,0.00038932849707951816,1.0,0.0,2,30,0,0.75,0.00019466424853975908
1,1,0.0006461698966341946,0.0006461698966341946,1.0,0.0,3,30,0,0.75,0.00038932849707951816
2,1,0.20805944052967448,0.20805944052967448,0.9848233114616101,0.20789966249316416,2,30,0,0.75,0.20797955151141934
2,1,0.20813452883783903,0.20813452883783903,0.9848233114616101,0.20789966249316416,2,30,0,0.75,0.20801709566550158
4,1,0.30625559086790816,0.30625559086790816,0.821592733655717,0.3055276279515673,6,30,0,0.75,0.30576326850880853
6,1,0.27635209290853774,0.27635209290853774,0.82658221727652,0.2748746639107422,10,30,0,0.75,0.2754381861775704
8,1,0.2909249400003318,0.2909249400003318,0.7914570373471125,0.2907566298115401,4,30,0,0.75,0.2908093089434537
12,1,0.331345048748042,0.331345048748042,0.7770288970481,0.3298519152761406,10,30,0,0.75,0.33041763545402625
18,1,0.3303247219694531,0.3301827727602666,0.6997671523800691,0.3278816058256703,22,30,2,0.75,0.32844902457571246
26,1,0.3288510282898593,0.3288510282898593,0.7252120571970148,0.32580736818868405,17,30,8,0.75,0.3263361981963366
37,1,0.34949602007799796,0.3485851297777694,0.7281280995717199,0.3464856747022312,35,30,13,0.75,0.34704308410133977
54,1,0.35834416433482486,0.35777629948790257,0.7000677636774689,0.351832511876716,42,30,23,0.75,0.3538046837468296
78,1,0.3651449361712301,0.3634656943992318,0.7004097587740323,0.3606856624958367,56,30,40,0.75,0.36230116344593943
112,1,0.37987903778791804,0.37811781557968693,0.6944471680835207,0.35552736693155657,81,30,72,0.75,0.3642432421594371
162,1,0.3642586129548174,0.3642586129548174,0.6708255462798963,0.35467285591841974,106,30,127,0.75,0.3567753373089946
233,1,0.3677478087129075,0.3592832483582116,0.6712760377677947,0.35155140639683985,143,30,207,0.75,0.3544022845170193
335,1,0.36090944799784885,0.3579140052045632,0.6672412949880235,0.3463882302072637,213,30,321,0.75,0.3506521985022716
483,1,0.3679255183925605,0.35927046297120774,0.6705994064901118,0.3487300389957689,302,30,520,0.75,0.35332790923786317
695,1,0.37202908108480454,0.3657747841935615,0.6645145338433293,0.34471530679527496,381,30,861,0.75,0.34986845100594227
1000,1,0.3797628053970018,0.37797162294942893,0.6587100539955345,0.3426889626439259,513,30,1359,0.75,0.35374708838120544
1,2,0.0005997905159575143,0.0005997905159575143,1.0,0.0,3,30,0,0.75,2.888868627483519e-05
1,2,0.000286205269183802,0.000286205269183802,1.0,0.0,2,30,0,0.75,0.000143102634591901
2,2,0.12745965325790562,0.12745965325790562,0.805830593191338,0.1260981952835274,4,30,0,0.75,0.12656084983186144
2,2,0.12617158927398214,0.12617158927398214,0.805830593191338,0.1260981952835274,2,30,0,0.75,0.12613489227875477
4,2,0.19703189669595025,0.19703189669595025,0.7427494266277636,0.19658391731225916,4,30,0,0.75,0.19677377582443586
6,2,0.31084999705727306,0.31084999705727306,0.719101637192471,0.309848549795378,5,30,0,0.75,0.31001682095851746
8,2,0.28170250438774064,0.28170250438774064,0.6843261136795764,0.27955190958843557,7,30,0,0.75,0.2800034246153484
12,2,0.32475294857518233,0.32475294857518233,0.7031338577043256,0.32193917898359886,10,30,0,0.75,0.32217740929617406
18,2,0.2992603442959153,0.2992603442959153,0.7295426719708236,0.29682870020696045,16,30,1,0.75,0.29764374382617587
26,2,0.3104732601759709,0.3104732601759709,0.7405442433038707,0.2962618429550666,25,30,3,0.75,0.3005932578826083
37,2,0.3094392948498479,0.30772033766005336,0.7150431564025108,0.29534388889727237,30,30,8,0.75,0.29788775720244237
54,2,0.363103123197842,0.35577613790412266,0.6963303132347464,0.3430982003313794,38,30,22,0.75,0.3478135763628458
78,2,0.3765691280514774,0.37019425620309904,0.6918576318643315,0.36383270782278576,66,30,41,0.75,0.3666118704032245
112,2,0.3721651289980967,0.3672656144418708,0.6883890307597682,0.35158196571359307,78,30,78,0.75,0.36122842418198375
162,2,0.3799752531200223,0.37708844860809765,0.6789467103358563,0.3502758536066914,108,30,126,0.75,0.35908113632771843
233,2,0.40885370379669805,0.40517468077881946,0.6689524151689817,0.3562792424596839,128,30,233,0.75,0.36357976625764854
335,2,0.41631359500510723,0.41631359500510723,0.6704638203643728,0.35585788765911786,173,30,400,0.75,0.3647643458723957
483,2,0.43120385634809905,0.4145117561786832,0.6707110929863764,0.3518558704981236,247,30,640,0.75,0.37943496407005634
695,2,0.44008084310030376,0.4314402933244173,0.665208125241713,0.35228687210464793,291,30,1016,0.75,0.3768342356627279
1000,2,0.51313993279025,0.509387929989695,0.6582118100987305,0.3505212000940332,455,30,1598,0.75,0.3853987765121856
1,3,0.0012336823040471794,0.0012336823040471794,1.0,0.0,3,30,0,0.75,0.0005269540548685337
1,3,0.0004011912367701413,0.0004011912367701413,1.0,0.0,3,30,0,0.75,0.00021575044945631585
