number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
10,0,0.18799446735233324,0.18799446735233324,0.904483883881432,0.1811386690259261,15,40,6,0.5
30,0,0.21605471996746217,0.21605471996746217,0.8464228759410191,0.16413531712094154,41,40,26,0.5
50,0,0.22458301843614883,0.22458301843614883,0.8538478693918585,0.1678329890860798,57,40,70,0.5
70,0,0.2807493862642607,0.27129869588907046,0.8478581696749448,0.1705121370406175,67,40,144,0.5
90,0,0.3577000299512237,0.35770002995122363,0.8511495393345069,0.17621114128767335,99,40,226,0.5
10,1,0.11602363382958145,0.11408523005701725,0.8897220455735108,0.10776742942469357,15,40,6,0.5
30,1,0.20708267998453508,0.19535399039086118,0.8281948005533881,0.1536577290654516,36,40,31,0.5
50,1,0.1934302599881774,0.1845406856886505,0.8312072092297735,0.16443132695977647,60,40,72,0.5
70,1,0.2302096008496428,0.2302096008496428,0.8279950532735189,0.1502905562812379,62,40,151,0.5
90,1,0.21950513829424662,0.21950513829424656,0.838088305372843,0.15070491374283249,92,40,240,0.5
10,2,0.09677227416483765,0.09677227416483765,0.8507111180791453,0.08324739969499981,13,40,2,0.5
30,2,0.1728670009010715,0.1728670009010715,0.8288465544960181,0.11535826556504562,42,40,20,0.5
50,2,0.17318328746033373,0.17318328746033373,0.8176878139317825,0.1009213337111992,58,40,59,0.5
70,2,0.19534721783041634,0.1906349399274199,0.8134986812073889,0.10268342649297084,85,40,113,0.5
90,2,0.21238341583351494,0.2118884532140536,0.8143522845568432,0.10392075413360274,109,40,184,0.5
10,3,0.133825088811754,0.13177774805878167,0.8537616371288674,0.12312800788464914,16,40,5,0.5
30,3,0.15872040622014755,0.15872040622014755,0.8393898204910989,0.11760732350768627,42,40,24,0.5
50,3,0.18038639925737848,0.18038639925737848,0.8405256146336729,0.127782799216546,50,40,75,0.5
70,3,0.2528061636959192,0.2528061636959192,0.8572432172955432,0.12259581730261071,65,40,151,0.5
90,3,0.2098430567635511,0.20362135490579722,0.8444212911732606,0.1276790439173503,85,40,247,0.5
10,4,0.13516758832493708,0.13516758832493708,0.8881758463595407,0.12484859576910186,18,40,3,0.5
30,4,0.1659420641579677,0.1659420641579677,0.835422805806276,0.09014816617213142,46,40,18,0.5
50,4,0.20279441973508208,0.19685029548056412,0.8351201772765015,0.11604156971382883,55,40,64,0.5
70,4,0.23260413225736706,0.2268816101266186,0.8410949652876909,0.12934453997134912,81,40,124,0.5
90,4,0.20982735328915902,0.20401629354169792,0.8369225619639069,0.1258259112984043,102,40,203,0.5
10,5,0.19656733248930017,0.19656733248930017,0.8379506899667731,0.16991503729123414,19,40,2,0.5
30,5,0.20199029827247472,0.20040526227996042,0.8407121945122252,0.15886637716468252,34,40,29,0.5
50,5,0.3282350681223321,0.3282350681223321,0.8564230769081084,0.14454355387796758,62,40,68,0.5
70,5,0.3204365686087631,0.31502491361404406,0.8547231470305214,0.14877390838534615,73,40,136,0.5
90,5,0.4603847950671636,0.4603847950671636,0.8607318949332707,0.15093694611377984,77,40,240,0.5
10,6,0.08226310774049604,0.08226310774049604,0.8385783396420499,0.0672712980381707,16,40,5,0.5
30,6,0.17865236510139226,0.17326630952427527,0.8585008420587713,0.12408986539709682,39,40,27,0.5
50,6,0.20914217811270902,0.1959737323909649,0.8327549779220123,0.11937020649835911,56,40,72,0.5
70,6,0.2797852406929484,0.26447085837986795,0.846516518309293,0.12576513494537384,69,40,144,0.5
90,6,0.27045217388816345,0.25637542405745334,0.8530578035648555,0.12584020579814084,97,40,228,0.5
10,7,0.18239750499752644,0.18184434020228796,0.8295304256053535,0.17589159629600676,20,40,1,0.5
30,7,0.21529158073774646,0.21529158073774646,0.8843348349264901,0.17205101758989397,34,40,28,0.5
50,7,0.2984200391322193,0.2984200391322193,0.8667908758454403,0.15958028185010606,56,40,73,0.5
70,7,0.32687032820650347,0.3182369727468653,0.8771610539174027,0.15926614252079882,85,40,129,0.5
90,7,0.28652939293692953,0.28652939293692953,0.8870724213628566,0.16847116768930329,86,40,224,0.5
10,8,0.1761496841666177,0.1761496841666177,0.8581435624269709,0.1638789088885862,15,40,6,0.5
30,8,0.21044232341350563,0.20372457167993382,0.8847316970841455,0.18192781481616793,38,40,29,0.5
50,8,0.18727216240505387,0.18458671787463946,0.8749527741576992,0.17440592888755688,61,40,69,0.5
70,8,0.21784956486243937,0.20982002681520162,0.8698586110976172,0.1612644788440689,87,40,123,0.5
90,8,0.19913608692847662,0.1907320996005192,0.8724011178617044,0.1621597310456043,103,40,201,0.5
