number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
10,0,0.3326268889456051,0.3326268889456051,0.6575133821685462,0.3320519433403389,12,40,0
20,0,0.4085467130488305,0.4084817523585701,0.5974053775162897,0.4069729238221823,12,40,11
30,0,0.4178205451053156,0.4176349698848267,0.5736628613998438,0.416270338621336,7,40,40
40,0,0.4291946356234663,0.42843165606862765,0.5602789430276661,0.42770244694229625,3,40,79
50,0,0.45811182470419987,0.4346462801929546,0.5625901425483094,0.4329976558577026,1,40,125
60,0,0.46938820835112655,0.46938820835112655,0.5611280980796477,0.4535494006509102,1,40,182
70,0,0.4742190164348378,0.4742190164348378,0.5499546100834666,0.46690972890067417,1,40,258
80,0,0.4867943800410184,0.46683748968525246,0.548931490775958,0.46648578752429753,1,40,345
90,0,0.5024237710291626,0.46542292825669307,0.5528671905153182,0.46511015723516397,1,40,438
100,0,0.5119258291359516,0.5119258291359516,0.5457159411141732,0.46437235007095956,1,40,547
10,1,0.37844979726264455,0.3782903179549039,0.7228033764182845,0.37706166290562393,12,40,0
20,1,0.4390298862045605,0.4390298862045605,0.6134495540705167,0.4370690566884126,7,40,10
30,1,0.4600903754616183,0.4597652127487031,0.5875478465889192,0.4587518789257322,4,40,42
40,1,0.4502496223221243,0.4502496223221243,0.5980893550716706,0.434089860033304,1,40,77
50,1,0.45913652736673455,0.44276174478026314,0.6182701833657396,0.44138291611332275,1,40,131
60,1,0.4783687355152131,0.4783687355152131,0.6329030117177975,0.45809065906564,1,40,186
70,1,0.4823244076608895,0.4823244076608895,0.6291234953478034,0.4635163793643159,1,40,256
80,1,0.49153497376685795,0.49153497376685795,0.6275017655015611,0.4758930262912435,1,40,342
90,1,0.4906914027256602,0.4782208753945399,0.601010849314907,0.47792598325506574,1,40,432
100,1,0.497294838810333,0.48306490391022516,0.5951247070357114,0.4786846753023748,1,40,541
10,2,0.3959784729782522,0.3959784729782522,0.7016295033712299,0.3956601657278947,10,40,0
20,2,0.43019716658581436,0.43019716658581436,0.6380212375039399,0.4295527082991075,6,40,12
30,2,0.45925383846609136,0.45916273106944805,0.6179752798750863,0.4586783871232277,14,40,27
40,2,0.46585684310317516,0.46577654282149217,0.5919040999129861,0.46571687186845184,1,40,65
50,2,0.48322748675284216,0.4829354981159885,0.6036896087383581,0.48264401566419274,1,40,113
60,2,0.4746203463954973,0.4740380290074582,0.5852018010901283,0.4739679305874602,1,40,167
70,2,0.47448256036860326,0.4741031543241253,0.5608184652600661,0.4732340065699273,1,40,226
80,2,0.4785959388135346,0.4782691195992599,0.5598931303481363,0.4778052013166767,1,40,312
90,2,0.4889934970104529,0.4881500433328877,0.5489308564994603,0.4881500433328877,1,40,412
100,2,0.4936170696284677,0.4936170696284677,0.545437403301056,0.49263007428152195,1,40,504
10,3,0.3491961458900939,0.3491961458900939,0.6567746649437372,0.3484433928311218,9,40,0
20,3,0.4180904282467831,0.41760176453591963,0.6101065803298809,0.416998815775821,14,40,5
30,3,0.4484363622051353,0.448278744147925,0.595706507284442,0.44770220110737535,5,40,22
40,3,0.4643340425037351,0.4643340425037351,0.5829131374829236,0.46368266794412366,1,40,62
50,3,0.467161484369359,0.46639330539580454,0.5948692726827659,0.46580271174248017,1,40,114
60,3,0.4788684908503703,0.47827355819746065,0.5881477373314123,0.4781072897868288,1,40,176
70,3,0.48578982363541434,0.48578982363541434,0.5863481799428386,0.4853086681262991,1,40,249
80,3,0.4955382751284265,0.4952239333103877,0.5716173854913743,0.4949466265291987,1,40,326
90,3,0.4894615354429636,0.48934507923696385,0.5546157664432012,0.4890275936444024,1,40,415
100,3,0.4961855161188305,0.49609781268691555,0.553265454127248,0.49526803030473476,1,40,518
10,4,0.34787752392057775,0.34787752392057775,0.587529520108719,0.3473894666711096,9,40,0
20,4,0.40288900998146027,0.40212943433135734,0.5848305758943442,0.40096094888985007,16,40,6
30,4,0.4616306834533582,0.4605797292349807,0.6003736019473048,0.45826549306951364,12,40,26
40,4,0.4684815505054666,0.4684611500613326,0.5838947618579368,0.4678424167264191,1,40,59
50,4,0.47738232114982515,0.4771243482794859,0.5777916932615039,0.4753104214134148,1,40,106
60,4,0.47635593336746335,0.4740985149390351,0.5744921604077492,0.4740985149390351,1,40,155
70,4,0.4887310042492418,0.4886296762066614,0.5789304758011704,0.4872499215611316,1,40,234
80,4,0.4905646817535657,0.485532346606389,0.5561613275830604,0.4836714048740817,1,40,316
90,4,0.49614505192046054,0.48722280763362413,0.550982288354463,0.48462570898418444,1,40,402
100,4,0.49898147982862784,0.49647778646050056,0.552928652614714,0.4931135586273551,1,40,494
