number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
1,7,0.00041143381688740814,0.00041143381688740814,1.0,0.0,3,30,0,0.5
2,7,0.15695842613639688,0.15695842613639688,0.9799672534764347,0.15652601257394133,2,30,0,0.5
3,7,0.11536126639963179,0.11536126639963179,0.9655382222013297,0.11429318611952068,5,30,0,0.5
4,7,0.13500227072703747,0.13500227072703747,0.9347563965020258,0.13444958652173916,5,30,0,0.5
5,7,0.16363030099953607,0.16363030099953607,0.877485711955592,0.15942862696955928,8,30,0,0.5
6,7,0.14713912398149187,0.14713912398149187,0.8765845342503346,0.14525903619739208,6,30,0,0.5
7,7,0.1326309752765697,0.1326309752765697,0.8775603992206601,0.1301200193135469,10,30,0,0.5
8,7,0.11736363831445903,0.11736363831445903,0.84527074330115,0.11459412209876042,10,30,0,0.5
9,7,0.1467629703727734,0.1467629703727734,0.8548360578317342,0.14415190304958744,10,30,0,0.5
1,8,0.0006667885865897714,0.0006667885865897714,1.0,0.0,3,30,0,0.5
2,8,0.09935219894413524,0.09935219894413524,0.9212785180569207,0.09888645607249774,4,30,0,0.5
3,8,0.08240012574025338,0.08240012574025338,0.9276217751094983,0.08019392844902729,5,30,0,0.5
4,8,0.10721934177426277,0.10721934177426277,0.8660673769535059,0.10641008201453049,5,30,0,0.5
5,8,0.1148984554609526,0.1148984554609526,0.8177297757242756,0.11453038247300507,4,30,0,0.5
6,8,0.1430287018490594,0.1430287018490594,0.8478984791818528,0.14139606000986185,6,30,0,0.5
7,8,0.14791756808023854,0.14791756808023854,0.8396289424647186,0.14679008941089622,7,30,0,0.5
8,8,0.15022899449961735,0.15022899449961735,0.8584004962581561,0.1493403753616387,7,30,0,0.5
9,8,0.16830718123327648,0.16830718123327648,0.827708544785378,0.16653695805900293,10,30,0,0.5
