number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
10,0,0.33778368688249166,0.33778368688249166,0.6575133821685462,0.3320519433403389,19,40,2
110,0,0.49387739660324487,0.490385237675468,0.546440169197816,0.48906318164223905,57,40,166
210,0,0.5010725341270376,0.5009264531296345,0.5516952333199072,0.5001046362362872,1,40,586
310,0,0.5040974930968929,0.5040974930968929,0.5375039904751758,0.5022623586631054,1,40,1206
410,0,0.5020392903679233,0.5018470351142708,0.5410684770911494,0.500104422078168,15,40,2012
510,0,0.5063719354155585,0.5058493118233646,0.5332154705597595,0.5038556033345081,2,40,3031
610,0,0.5067002459607147,0.5065912937870098,0.5252327156672718,0.5037624670308654,1,40,4251
710,0,0.5055285321456809,0.5047042660463016,0.5271478104714212,0.5037414893695743,2,40,5670
810,0,0.5066948839271989,0.5064782612711755,0.5284565564963,0.5052468032574076,1,40,7290
910,0,0.505451534935379,0.5054142517351273,0.5250506860545738,0.5044067198646831,2,40,9109
10,1,0.3808908812597879,0.3808908812597879,0.7228033764182845,0.37706166290562393,16,40,5
110,1,0.49128260850842764,0.49128260850842764,0.5554080832114925,0.4865679588270063,24,40,202
210,1,0.49969428046699604,0.49910749446750907,0.5280606781832708,0.4971083036334647,1,40,622
310,1,0.49946842320905555,0.4993644906271252,0.526615738706097,0.4986764889602034,1,40,1242
410,1,0.5033859027063547,0.5031996158484634,0.527209311554119,0.5030673707105197,1,40,2062
510,1,0.5063098207256577,0.5062197445676331,0.5250118810859838,0.5055539334364628,5,40,3078
610,1,0.5025978744815874,0.5025234324880186,0.5249563863537527,0.5021373731699467,1,40,4297
710,1,0.49929726892464804,0.49918464565871135,0.5204680687802722,0.49848791392427216,1,40,5715
810,1,0.5002810490845226,0.4997645022734277,0.5198932697117185,0.4990965745610044,1,40,7332
910,1,0.4977438913858176,0.49594592918524516,0.5192791400377561,0.49579809993244744,1,40,9151
10,2,0.39720930274125565,0.3964103824224713,0.7016295033712299,0.3956601657278947,18,40,3
110,2,0.487915138607015,0.48506634027524614,0.5448128600412284,0.4834516706846458,59,40,165
210,2,0.48837973961007614,0.48825897568978094,0.5420830565021174,0.4864025913991563,3,40,583
310,2,0.49189196599411245,0.49068690169688867,0.5286903540987656,0.4890926617246312,3,40,1201
410,2,0.49346484073682867,0.49346484073682867,0.5295893973708747,0.4914515932165168,4,40,2018
510,2,0.4918839832277225,0.4899806708885011,0.5243874487556678,0.4885126704088145,1,40,3038
610,2,0.4967263571874872,0.48787071366642965,0.5212823690452604,0.4863578940776097,1,40,4258
710,2,0.49514958343557297,0.48539213381504764,0.5197059172007534,0.48484435294951533,1,40,5678
810,2,0.4971605223245825,0.4971605223245825,0.5197724947272475,0.4876207322706998,1,40,7298
910,2,0.4961207932157678,0.49403520452048744,0.5174898022137938,0.48982161326075635,1,40,9118
10,3,0.34912592336964443,0.34912592336964443,0.6567746649437372,0.3484433928311218,18,40,3
110,3,0.5035613650062398,0.5033201038734844,0.5625088176151928,0.5018613675611464,83,40,141
210,3,0.4921939551553812,0.4921178431565075,0.5334842577468506,0.49185486226721403,6,40,556
310,3,0.49643384801201956,0.49632263154453565,0.5297088738975826,0.495006351461239,2,40,1175
410,3,0.49736200595151003,0.49711917903220265,0.5275341762405236,0.49663864873029656,2,40,1994
510,3,0.5006804370120262,0.5003330379120836,0.5201051752149519,0.49983612733013466,2,40,3013
610,3,0.501170342282849,0.5006851633545623,0.5221937016080361,0.5000326073413253,1,40,4233
710,3,0.49991533241627684,0.49955282606930607,0.5204812724762578,0.4987248773250891,1,40,5653
810,3,0.500590791829793,0.49982015591961754,0.5208281488096208,0.49911467948942106,1,40,7273
910,3,0.49812959800046863,0.4981295980004686,0.5187427788530476,0.4967098178252331,1,40,9093
10,4,0.3500118339375039,0.34916912307236553,0.587529520108719,0.3473894666711096,20,40,1
110,4,0.5058010497831648,0.5054286172382159,0.543165089835597,0.5050418690941604,34,40,188
210,4,0.4963209716673865,0.49536571830354076,0.5298536704139083,0.4947832702591885,3,40,606
310,4,0.49783034621120237,0.49772499105976825,0.5298573425298111,0.4972497201623501,1,40,1226
410,4,0.5001490910584497,0.4999383584515932,0.5190860556916099,0.4993508429896479,1,40,2046
510,4,0.5044398421589114,0.5044067945681996,0.5201878534640683,0.5042477923980132,4,40,3063
610,4,0.5052284620497918,0.5049800686150144,0.5207093023003858,0.5045871693091244,2,40,4282
710,4,0.5071498820135711,0.5068643488173914,0.5221216994236247,0.5067168992796027,2,40,5701
810,4,0.5075953664876297,0.5075953664876297,0.5216922632877535,0.5069495660721463,1,40,7321
910,4,0.5040707534872233,0.50384616891418,0.515897639800663,0.5034801887308619,1,40,9141
10,5,0.3400194649928051,0.33936160676465676,0.6671134331945863,0.33598308236376917,18,40,3
110,5,0.49199814551041393,0.4906645119909421,0.5581583038590177,0.4896419289135688,22,40,201
210,5,0.49152798812047854,0.49140021224399627,0.5413160808543331,0.4906649539071478,1,40,621
310,5,0.48857068155172695,0.4885355629404477,0.5295076388102462,0.4884557923290045,1,40,1241
410,5,0.4931614036395516,0.49300181880278415,0.5292068792884087,0.49170761112175404,1,40,2060
510,5,0.49812664945337487,0.497864468798708,0.5284327354826719,0.49547257530387556,1,40,3074
610,5,0.5009458756570456,0.5009457586890409,0.5315674334372161,0.4985270224721877,1,40,4288
710,5,0.5043553067386307,0.5041997406644859,0.5279687175563356,0.5028340871956459,1,40,5700
